Vault_Payer_ID,State,Payer_Name,Drug_Name,Drug_Class,Formulary_Status,Tier,Quantity_Limit,Step_Within_Class,Site_of_Care,PBM_Partner,Year,Confidence,Source,Notes
AK-COM-AETNA,AK,Aetna,Aimovig,CGRP mAbs (SC),Non-Preferred,Tier 4,,,,CVS Caremark,2026,PBM-Inferred,PBM Default: CVS Caremark (no Database B policy),Payer in Registry but no policy record; PBM-inferred only
AK-COM-AETNA,AK,Aetna,Ajovy,CGRP mAbs (SC),Preferred,Tier 3,,,,CVS Caremark,2026,PBM-Inferred,PBM Default: CVS Caremark (no Database B policy),Payer in Registry but no policy record; PBM-inferred only
AK-COM-AETNA,AK,Aetna,Botox,Neurotoxins,Preferred,Specialty,15/30 days,,IV Infusion (any setting),CVS Caremark,2026,Audit-Derived,Audit Doc: AK (upgraded from PBM-Inferred),Phase 2 enrichment from AK audit doc
AK-COM-AETNA,AK,Aetna,Emgality,CGRP mAbs (SC),Preferred,Tier 3,,,,CVS Caremark,2026,PBM-Inferred,PBM Default: CVS Caremark (no Database B policy),Payer in Registry but no policy record; PBM-inferred only
AK-COM-AETNA,AK,Aetna,Nurtec ODT,Gepants (Acute),Non-Preferred,Tier 4,,,,CVS Caremark,2026,PBM-Inferred,PBM Default: CVS Caremark (no Database B policy),Payer in Registry but no policy record; PBM-inferred only
AK-COM-AETNA,AK,Aetna,Qulipta,Gepants (Preventive),Non-Preferred,Tier 4,,,,CVS Caremark,2026,PBM-Inferred,PBM Default: CVS Caremark (no Database B policy),Payer in Registry but no policy record; PBM-inferred only
AK-COM-AETNA,AK,Aetna,Ubrelvy,Gepants (Acute),Preferred,Tier 3,,,,CVS Caremark,2026,PBM-Inferred,PBM Default: CVS Caremark (no Database B policy),Payer in Registry but no policy record; PBM-inferred only
AK-COM-AETNA,AK,Aetna,Vyepti,CGRP mAbs (IV),Non-Preferred,Specialty,,,IV Infusion (any setting),CVS Caremark,2026,Audit-Derived,Audit Doc: AK (upgraded from PBM-Inferred),Phase 2 enrichment from AK audit doc
AK-COM-MODA,AK,Moda Health,Aimovig,CGRP mAbs (SC),Preferred,Tier 3,,,,MedImpact,2026,PBM-Inferred,PBM Default: MedImpact,Inferred from MedImpact national formulary; verify via payer portal
AK-COM-MODA,AK,Moda Health,Ajovy,CGRP mAbs (SC),Non-Preferred,Tier 4,,,,MedImpact,2026,PBM-Inferred,PBM Default: MedImpact,Inferred from MedImpact national formulary; verify via payer portal
AK-COM-MODA,AK,Moda Health,Emgality,CGRP mAbs (SC),Preferred,Tier 3,,,,MedImpact,2026,PBM-Inferred,PBM Default: MedImpact,Inferred from MedImpact national formulary; verify via payer portal
AK-COM-PREMBC,AK,Premera Blue Cross,Aimovig,CGRP mAbs (SC),Non-Preferred,Tier 4,,,,Prime Therapeutics,2026,PBM-Inferred,PBM Default: Prime Therapeutics,Inferred from Prime Therapeutics national formulary; verify via payer portal
AK-COM-PREMBC,AK,Premera Blue Cross,Ajovy,CGRP mAbs (SC),Preferred,Tier 3,,,,Prime Therapeutics,2026,PBM-Inferred,PBM Default: Prime Therapeutics,Inferred from Prime Therapeutics national formulary; verify via payer portal
AK-COM-PREMBC,AK,Premera Blue Cross,Botox,Neurotoxins,Preferred,Specialty,15/30 days,,IV Infusion (any setting),Prime Therapeutics,2026,Audit-Derived,Audit Doc: AK (upgraded from PBM-Inferred),Phase 2 enrichment from AK audit doc
AK-COM-PREMBC,AK,Premera Blue Cross,Emgality,CGRP mAbs (SC),Preferred,Tier 3,,,,Prime Therapeutics,2026,PBM-Inferred,PBM Default: Prime Therapeutics,Inferred from Prime Therapeutics national formulary; verify via payer portal
AK-COM-PREMBC,AK,Premera Blue Cross,Nurtec ODT,Gepants (Acute),,Tier 3,,,,Prime Therapeutics,2026,Audit-Derived,Database_B:AK-COM-PREMBC,
AK-COM-PREMBC,AK,Premera Blue Cross,Ubrelvy,Gepants (Acute),,Tier 3,,,,Prime Therapeutics,2026,Audit-Derived,Database_B:AK-COM-PREMBC,
AK-COM-PREMERA,AK,Premera BCBS Alaska,Aimovig,CGRP mAbs (SC),,,,,,Premera PBM,2026,Gap-Manual-Review,Database_B:AK-COM-PREMERA,No audit data or PBM match; PBM=Premera PBM; requires manual verification
